Rank,Author,Score,Students
1960,"Bart  Los Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, NetherlandsGroningen Growth and Development Centre (GGDC), Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",2053.63,2.5
1961,"Ron  Bird Paul Woolley Centre for Capital Market Dysfunctionality, Finance Discipline Group, Business School, University of Technology Sydney, Sydney, AustraliaWaikato Management School, University of Waikato, Hamilton, New Zealand",2054.37,2
1962,"Sergiu  Hart Center for the Study of Rationality, Hebrew University of Jerusalem, Jerusalem, IsraelDepartment of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",2054.96,0.5
1963,"Viv B. Hall School of Economics and Finance, Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",2055.27,1
1964,"Alain  Paquet Centre de Recherche sur l'Emploi et les Fluctuations Économiques (CREFÉ), École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM), Montréal, CanadaDépartement des Sciences Économiques, École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM), Montréal, Canada",2056.38,0.5
1965,"Renee A. Fry-McKibbin Centre for Applied Macroeconomic Analysis (CAMA), Crawford School of Public Policy, Australian National University, Canberra, Australia",2057.19,1
1966,"William James Adams Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",2057.88,1
1967,"Reyer  Gerlagh https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2059.36,0.5
1968,"Alistair  Munro National Graduate Institute for Policy Studies (GRIPS), Tokyo, Japan",2059.37,4
1969,"Philip Richard Lane Department of Economics, Trinity College Dublin, Dublin, IrelandEuropean Central Bank, Frankfurt am Main, Germany",2060.11,1.5
1970,"Theo  Nijman Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2060.21,0.5
1971,"Paul J. Devereux School of Economics, University College Dublin, Dublin, Ireland",2060.23,2.5
1972,"David A. Dickey Department of Agricultural and Resource Economics, North Carolina State University, Raleigh, North Carolina (USA)",2060.86,0.5
1973,"Omar Osvaldo Chisari Instituto Interdisciplinario de Economía Política de Buenos Aires (IIEP) UBA-CONICET, Facultad de Ciencias Económicas, Universidad de Buenos Aires, Buenos Aires, Argentina",2061.06,1
1974,John R. Moroney Jr.†,2061.38,2
1975,"Caglar  Ozden Economics Research, World Bank Group, Washington, District of Columbia (USA)",2061.4,0.5
1976,"Christopher John O'Donnell School of Economics, University of Queensland, Brisbane, AustraliaCentre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia",2062.51,1
1977,"Anthony Philip Thirlwall School of Economics, University of Kent, Canterbury, United Kingdom",2066.13,1
1978,"Karl  Aiginger Querdenkplattform Wien-Europa, Wien, Austria",2067.12,1
1979,"Alastair  Hall School of Economics, University of Manchester, Manchester, United Kingdom",2067.42,0.5
1980,"Tetsuo  Ono Graduate School of Economics, Osaka University, Osaka, Japan",2068.75,1
1981,Carlos A. Osorio,2069.54,1.5
1982,"Andreas  Freytag Wirtschaftswissenschaftliche Fakultät, Friedrich-Schiller-Universität Jena, Jena, Germany",2069.61,1
1983,"Reto  Foellmi Swiss Institute for International Economics and Applied Economics Research, School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",2070.23,1.5
1984,"Brian M. Lucey School of Business, Trinity College Dublin, Dublin, Ireland",2070.52,1
1985,"Francois  Salanie Toulouse School of Economics (TSE), Toulouse, France",2071.9,3
1986,"Helen H. Jensen Department of Economics, Iowa State University, Ames, Iowa (USA)Center for Agricultural and Rural Development (CARD), Iowa State University, Ames, Iowa (USA)",2071.91,1.5
1987,"Sylviane  Guillaumont Jeanneney Centre d'Études et de Recherches sur le Développement International (CERDI), École d'Économie, Université Clermont Auvergne, Clermont-Ferrand, France",2075.92,1
1988,"Peter  Borm Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2077.75,1.5
1989,"Manuel  Amador National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",2078.33,9.5
1990,"Armin  Falk briq Institute on Behavior and Inequality, Bonn, Germany",2079.19,0.5
1991,"Mark Jonathan Horridge Centre of Policy Studies and Impact Project (COPS), Victoria University, Melbourne, Australia",2084.4,3
1992,"Zhongjun  Qu Department of Economics, Boston University, Boston, Massachusetts (USA)",2084.96,2
1993,"Nicolas Robert Ziebarth Department of Policy Analysis and Management, College of Human Ecology, Cornell University, Ithaca, New York (USA)",2085.82,2
1994,"Andrea  Mattozzi Department of Economics, European University Institute, Firenze, Italy",2086.34,0.5
1995,"Michele  Pellizzari Geneva School of Economics and Management, Université de Genève, Genève, Switzerland",2087.26,1
1996,Frederic S. Lee †,2088.57,3.5
1997,"Bipasa  Datta Department of Economics and Related Studies, University of York, York, United Kingdom",2091,1
1998,Seema  Arora,2091.26,1
1999,"Juan D.  Carrillo Department of Economics, University of Southern California, Los Angeles, California (USA)",2092.17,0.5
2000,"Richard Miller Bird Business Economics, Rotman School of Management, University of Toronto, Toronto, Canada",2092.17,1
2001,"Norman Rasmus Swanson Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",2092.73,0.5
2002,Colm  Kearney †,2094.44,1
2003,"Almuth  Scholl Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",2094.52,0.5
2004,"Thomas  Stratmann Economics Department, George Mason University, Fairfax, Virginia (USA)",2094.77,1
2005,"Periklis  Gogas Department of Economics, Democritus University of Thrace, Komotini, Greece",2096.12,3
2006,"Paul  Bergin Economics Department, University of California-Davis, Davis, California (USA)",2096.89,1
2007,"Ricardo  Hausmann Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)Center for International Development, Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",2097.56,1
2008,"Kevin J. Mumford Department of Economics, Krannert School of Management, Purdue University, West Lafayette, Indiana (USA)",2098.02,3.5
2009,"Henrik  Jensen Økonomisk Institut, Københavns Universitet, København, Denmark",2098.98,1
2010,"Nathan  Nunn Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",2099.19,0.5
2011,"Gilles  Dufrenot Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), École d'Économie d'Aix-Marseille, Aix-Marseille Université, Marseille, France",2101.32,2.5
2012,"Massimiliano  Amarante Centre Interuniversitaire de Recherche en Économie Quantitative (CIREQ), Montréal, Canada",2101.39,0.5
2013,"Pravin K Trivedi School of Economics, University of Queensland, Brisbane, Australia",2102.86,1
2014,"Shawn  Ni Economics Department, University of Missouri, Columbia, Missouri (USA)",2105.71,2
2015,"Giovanni  Anania Dipartimento di Scienze Economiche, Statistiche e Finanziarie ""Giovanni Anania"", Università degli Studi della Calabria, Arcavacata di Rende, Italy",2106.76,0.5
2016,"Alessandro  Olper Dipartimento di Economia, Management e Metodi Quantitativi (DEMM), Università degli Studi di Milano, Milano, Italy",2107.3,2
2017,"Rangan  Gupta Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",2107.75,2
2018,"Albert S. Kyle Finance Department, Robert H. Smith School of Business, University of Maryland, College Park, Maryland (USA)",2108.06,1
2019,"Botond  Koszegi Department of Economics and Business, Central European University, Budapest, Hungary",2108.58,1.5
2020,"Campbell  Leith Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",2110.28,1.5
2021,"M. Scott  Taylor Department of Economics, University of Calgary, Calgary, Canada",2110.64,1
2022,"Hodaka  Morita School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",2110.91,1.5
2023,"Matthias  Krakel Bonn Graduate School of Economics, Wirtschaftswissenschaftlicher Fachbereich, Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",2112.23,0.5
2024,"Yingyao  Hu Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",2114.67,1
2025,"Tim Roger Sass Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",2115.69,1
2026,"Giulio  Bottazzi Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",2116.54,0.5
2027,"Emmanuel S. de Dios School of Economics, University of the Philippines at Diliman, Quezon City, Philippines",2117.5,3
2028,"Wiji  Arulampalam Department of Economics, University of Warwick, Coventry, United Kingdom",2117.89,0.5
2029,"Bryan Leslie Boulier Department of Economics, George Washington University, Washington, District of Columbia (USA)",2117.94,1
2030,Frank  Heinemann,2119.01,0.5
2031,"Keisuke  Otsu Faculty of Business and Commerce, Keio University, Tokyo, Japan",2119.5,1
2032,"Anne  Perrot Autorité de la Concurrence, Government of France, Paris, France",2121.04,1
2033,"Maurice David Kugler Schar School of Policy and Government, George Mason University, Arlington, Virginia (USA)",2122.96,2
2034,"Maria Gabriella Graziano Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",2123.88,1
2035,"Robin  Cowan United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, NetherlandsBureau d'Économie Théorique et Appliquée (BETA), Nancy/Strasbourg, France",2124.67,1.5
2036,"Martin  Lettau Finance Group, Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",2125.59,0.5
2037,"Ronald  Davies School of Economics, University College Dublin, Dublin, Ireland",2126.14,1
2038,Riccardo  Faini †,2129.42,0.5
2039,"Fabrizio  Onida Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",2130.85,0.5
2040,"Michael  Peters Vancouver School of Economics, University of British Columbia, Vancouver, Canada",2130.91,2
2041,"Bernd  Frick Wirtschaftsfakultät, Private Universität Witten/Herdecke, Witten, Germany",2131.44,1
2042,"Dean S. Karlan Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",2132.31,1.5
2043,"Eswar  Prasad Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",2133.15,2
2044,"Oliver  Holtemoller Leibniz-Institut für Wirtschaftsforschung Halle (IWH), Halle, GermanyWirtschaftswissenschaftliche Fakultät, Martin-Luther-Universität Halle, Halle-Wittenberg, Germany",2135.8,1.5
2045,"Sandra  Poncet Centre d'études prospectives et d'informations internationales (CEPII), Paris, FranceParis School of Economics, Paris, France",2135.96,1
2046,"Pedro S. Martins School of Business and Management, Queen Mary University of London, London, United Kingdom",2136.04,1.5
2047,"Pedro L. Valls Pereira Escola de Economia de São Paulo (EESP), Fundação Getúlio Vargas (FGV), São Paulo, Brazil",2138.63,3.5
2048,"James  Alm Department of Economics, Tulane University, New Orleans, Louisiana (USA)",2140.94,1
2049,"Edward J. Balistreri Department of Economics, Iowa State University, Ames, Iowa (USA)",2141.23,1
2050,"Andrew  Mason Department of Economics, University of Hawaii-Manoa, Manoa, Hawaii (USA)",2141.62,0.5
2051,"Rebecca L. Thornton Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",2143.66,1
2052,"Perry  Shapiro Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",2144.23,1
2053,"Clemente  Polo Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",2144.29,2
2054,"Cesar  Alonso-Borrego Departamento de Economía, Universidad Carlos III de Madrid, Madrid, Spain",2148.55,1.5
2055,"Garance  Genicot Economics Department, Georgetown University, Washington, District of Columbia (USA)",2149.84,1
2056,F. Gerard  Adams †,2150.04,1
2057,"Steven Ray Cunningham Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",2151.04,1
2058,"Thomas  Philippon Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",2153.06,0.5
2059,"W. Mark Crain Department of Economics, Lafayette College, Easton, Pennsylvania (USA)",2153.67,1
2060,"Rusty  Tchernis Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",2154.33,1
2061,"Andrea  Morone Dipartimento di Economia, Management e Diritto dell'Impresa, Facoltà di Economia, Università degli Studi di Bari ""Aldo Moro"", Bari, Italy",2154.52,5
2062,"Sugata  Marjit Centre for Studies in Social Sciences, Kolkata, India",2155.39,1
2063,"Donald  Wittman Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",2156.48,0.5
2064,"Irena  Grosfeld Paris School of Economics, Paris, France",2156.88,1
2065,"Paul David Mizen School of Economics, University of Nottingham, Nottingham, United Kingdom",2157.59,1
2066,"Mary  O'Mahony Business School, King's College London, London, United Kingdom",2158.44,1.5
2067,Pentti  Saikkonen,2159.29,0.5
2068,"Ann M. Carlos Department of Economics, University of Colorado, Boulder, Colorado (USA)",2160.73,1.5
2069,"Tim C. Salmon Department of Economics, Southern Methodist University, Dallas, Texas (USA)",2160.94,1
2070,"Claude  Fluet Département finance, assurance et immobilier, Faculté des sciences de l'administration, Université Laval, Québec, Canada",2163.96,1.5
2071,"Tong  Li Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",2165.4,1
2072,"Alan A. Carruth School of Economics, University of Kent, Canterbury, United Kingdom",2166.69,1
2073,"Raf  Wouters Nationale Bank van België/Banque national de Belqique (BNB), Bruxelles/Brussel, Belgium",2167.48,0.5
2074,"Joan-Ramon  Borrell Grup de Recerca en Governs i Mercats (GiM), Institut de Recerca en Economia Aplicada (IREA), Facultat d'Economia i Empresa, Universitat de Barcelona, Barcelona, Spain",2168.01,1
