Rank,Author,Score,Author_clean
1761,"Eugene Kandel Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",1479,Eugene Kandel
1762,"Paul Anthony Cashin Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",1478,Paul Anthony
1763,"Gaaitzen J. de Vries Groningen Growth and Development Centre (GGDC), Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, NetherlandsFaculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1476,Gaaitzen J. de
1764,"James M Malcomson Department of Economics, Oxford University, Oxford, United Kingdom",1475,James M
1764,"Donald Cox Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",1475,Donald Cox
1766,"B. Espen Eckbo Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",1473,B. Espen Eckbo
1767,"Charles T. Clotfelter Sanford School of Public Policy, Duke University, Durham, North Carolina (USA)",1470,Charles T. Clotfelter
1768,"Peter Rousseau Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",1469,Peter Rousseau
1768,"Geert Ridder Department of Economics, University of Southern California, Los Angeles, California (USA)",1469,Geert Ridder
1770,"James Bullard Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",1468,James Bullard Research
1770,"Alex Coad Graduate School of Business and Finance, Faculty of Commerce, Waseda University, Tokyo, Japan",1468,Alex Coad
1772,"Carl Davidson Economics Department, Michigan State University, East Lansing, Michigan (USA)",1467,Carl Davidson
1772,"Giovanni Maggi Economics Department, Yale University, New Haven, Connecticut (USA)EPGE Escola Brasileira de Economia e Finanças, Fundação Getúlio Vargas (FGV), Rio de Janeiro, Brazil",1467,Giovanni Maggi
1772,"Lu Zhang Department of Finance, Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",1467,Lu Zhang
1775,"James Harrigan Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",1463,James Harrigan
1776,"Dale O. Stahl IIDepartment of Economics, University of Texas-Austin, Austin, Texas (USA)",1462,Dale O. Stahl
1776,"Henrik Horn Institutet för Näringslivsforskning (IFN), Stockholm, Sweden",1462,Henrik Horn
1778,"Gary King Institute for Quantitative Social Science, Harvard University, Cambridge, Massachusetts (USA)",1461,Gary King
1779,"James P. LeSage McCoy College of Business Administration, Texas State University, San Marcos, Texas (USA)",1460,James P. LeSage
1779,"Arno Riedl Vakgroep Algemene Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",1460,Arno Riedl
1779,"Alberto Chong International Center for Public Policy, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",1460,Alberto Chong
1779,"Sylvain Leduc Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",1460,Sylvain Leduc
1779,"Jean-Yves Duclos Centre de Recherche sur les Risques, les Enjeux Économiques et les Politiques Publiques (CRREP), Montréal/Québec, CanadaDépartement d'Économique, Université Laval, Québec, Canada",1460,Jean-Yves Duclos
1784,"Xin Meng Research School of Economics, College of Business and Economics, Australian National University, Canberra, Australia",1459,Xin Meng
1785,"Daniel Lederman Economics Research, World Bank Group, Washington, District of Columbia (USA)",1458,Daniel Lederman
1786,"Scott H. Irwin Department of Agricultural and Consumer Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",1457,Scott H. Irwin
1786,"Per G. Fredriksson Economics Department, University of Louisville, Louisville, Kentucky (USA)",1457,Per G. Fredriksson
1788,"Hartmut Egger Lehrstuhl für Volkswirtschaftlehre II, Rechts- und Wirtschaftswissenschaftliche Fakultät, Universität Bayreuth, Bayreuth, Germany",1456,Hartmut Egger
1788,"Rebel Allen Cole College of Business, Florida Atlantic University, Boca Raton, Florida (USA)",1456,Rebel Allen
1790,"Denise Osborn School of Economics, University of Manchester, Manchester, United Kingdom",1455,Denise Osborn
1790,"Roger Guesnerie Paris School of Economics, Paris, France",1455,Roger Guesnerie
1792,"Matthieu Bussiere Banque de France, Paris, France",1454,Matthieu Bussiere
1792,"Andre van Stel School of Business, Trinity College Dublin, Dublin, Ireland",1454,Andre van
1792,"Olof Johansson-Stenman Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden",1454,Olof Johansson-Stenman
1795,"Mikael Lindahl Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden",1452,Mikael Lindahl
1795,"Sjak Smulders https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1452,"Sjak Smulders https://www.tilburguniversity.edu/research/economics-and-management/graduate-school,"
1795,"Nathan Balke Department of Economics, Southern Methodist University, Dallas, Texas (USA)",1452,Nathan Balke
1798,"Robert Marquez Graduate School of Management, University of California-Davis, Davis, California (USA)",1451,Robert Marquez
1798,"Douglas A. Irwin Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",1451,Douglas A. Irwin
1800,"Toshihiro Matsumura Institute of Social Science, University of Tokyo, Tokyo, Japan",1450,Toshihiro Matsumura
1800,"Roman M. Sheremeta Department of Economics, Weatherhead School of Management, Case Western Reserve University, Cleveland, Ohio (USA)",1450,Roman M. Sheremeta
1802,"John Karl Scholz Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1449,John Karl
1802,"Bengt-Ake Lundvall IKE Gruppen, Institut for Økonomi og Ledelse, Aalborg Universitet, Aalborg, Denmark",1449,Bengt-Ake Lundvall
1802,"Ann L. Owen Department of Economics, Hamilton College, Clinton, New York (USA)",1449,Ann L. Owen
1805,"Jay C. Shambaugh Department of Economics, George Washington University, Washington, District of Columbia (USA)",1448,Jay C. Shambaugh
1805,"Laurent Gobillon Paris School of Economics, Paris, France",1448,Laurent Gobillon
1807,"Rene Garcia Département de Sciences Économiques, Université de Montréal, Montréal, Canada",1447,Rene Garcia
1807,Leonard Jay Mirman †,1447,Leonard Jay
1809,"Chris Telmer Department of Economics, Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",1446,Chris Telmer
1810,"Stephen George Hall School of Business, Leicester University, Leicester, United Kingdom",1444,Stephen George
1811,"Magne Mogstad Department of Economics, University of Chicago, Chicago, Illinois (USA)",1443,Magne Mogstad
1811,"Carl A. Pasurka Jr.National Center for Environmental Economics (NCEE), Environmental Protection Agency (EPA), Government of the United States, Washington, District of Columbia (USA)",1443,Carl A. Pasurka
1813,"Mark C Strazicich Department of Economics, Appalachian State University, Boone, North Carolina (USA)",1440,Mark C
1813,"Michael McKee Department of Economics, Appalachian State University, Boone, North Carolina (USA)",1440,Michael McKee
1813,"In Choi College of Economics, Sogang University, Seoul, South Korea",1440,In Choi
1816,"Susanne M. Schennach Economics Department, Brown University, Providence, Rhode Island (USA)",1439,Susanne M. Schennach
1817,"Solomon William Polachek Department of Economics, State University of New York-Binghamton (SUNY), Binghamton, New York (USA)",1438,Solomon William
1818,"Jean-Robert Tyran Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, AustriaVienna Center for Experimental Economics (VCEE), Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",1437,Jean-Robert Tyran
1819,"Dirk Bergemann Economics Department, Yale University, New Haven, Connecticut (USA)",1436,Dirk Bergemann
1820,"Martin Paldam School of Economics and Management, Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark",1435,Martin Paldam
1820,"David Figlio Institute for Policy Research (IPR), Northwestern University, Evanston, Illinois (USA)",1435,David Figlio
1822,"David Thesmar Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1433,David Thesmar
1822,"Robert H. Haveman Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1433,Robert H. Haveman
1822,"Cecilia Garcia-Penalosa Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), École d'Économie d'Aix-Marseille, Aix-Marseille Université, Marseille, France",1433,Cecilia Garcia-Penalosa
1825,"Jeremy M. Piger Department of Economics, University of Oregon, Eugene, Oregon (USA)",1432,Jeremy M. Piger
1826,"Rohini Pande Economic Growth Center, Economics Department, Yale University, New Haven, Connecticut (USA)",1431,Rohini Pande
1826,"Jean-Francois Richard Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",1431,Jean-Francois Richard
1826,"Richard John Green Business School, Imperial College, London, United Kingdom",1431,Richard John
1826,"Robert F Tamura John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson University, Clemson, South Carolina (USA)",1431,Robert F Tamura
1830,"Daniel F. Waggoner Center for Quantitative Economic Research (CQER), Federal Reserve Bank of Atlanta, Atlanta, Georgia (USA)Economic Research Department, Federal Reserve Bank of Atlanta, Atlanta, Georgia (USA)",1430,Daniel F. Waggoner
1830,"K. Geert Rouwenhorst School of Management, Yale University, New Haven, Connecticut (USA)",1430,K. Geert Rouwenhorst
1830,"Gabriel Jimenez Banco de España, Madrid, Spain",1430,Gabriel Jimenez
1833,"Pau Rabanal Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",1428,Pau Rabanal
1833,"Richard Startz Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",1428,Richard Startz
1833,"David Besanko Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1428,David Besanko
1836,"Laura Veldkamp Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",1427,Laura Veldkamp
1836,"Charles Blackorby Department of Economics, University of Warwick, Coventry, United Kingdom",1427,Charles Blackorby
1838,"Elias Papaioannou Department of Economics, London Business School (LBS), London, United Kingdom",1426,Elias Papaioannou
1839,"Bart Minten International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",1425,Bart Minten
1839,"Frank Kleibergen Amsterdam School of Economics, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",1425,Frank Kleibergen
1841,"Thorvaldur Gylfason Centre for Economic Policy Research (CEPR), London, United Kingdom",1424,Thorvaldur Gylfason
1841,"L. Vanessa Smith Department of Economics and Related Studies, University of York, York, United Kingdom",1424,L. Vanessa Smith
1843,"Tommaso Nannicini Dipartimento di Analisi delle Politiche e Management Pubblico, Università Commerciale Luigi Bocconi, Milano, Italy",1423,Tommaso Nannicini
1843,"Manthos D. Delis Montpellier Business School, Montpellier, France",1423,Manthos D. Delis
1845,"Dominik H. Enste Sr.Institut der Deutschen Wirtschaft, Köln, Germany",1421,Dominik H. Enste
1845,"Takatoshi Tabuchi Faculty of Global Management, Chuo University, Tokyo, Japan",1421,Takatoshi Tabuchi
1845,"Charles Quanwei Cao PBC School of Finance, Tsinghua University, Beijing, China",1421,Charles Quanwei
1848,"Lex Borghans Vakgroep Algemene Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",1419,Lex Borghans
1849,"Rikard Forslid Nationalekonomiska institutionen, Stockholms Universitet, Stockholm, Sweden",1418,Rikard Forslid
1849,"Gordon M. Phillips Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)",1418,Gordon M. Phillips
1851,"John G. Matsusaka Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)",1417,John G. Matsusaka
1851,"Lynne G. Zucker National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",1417,Lynne G. Zucker
1853,Awudu Abdulai,1416,Awudu Abdulai
1853,"David Donaldson Vancouver School of Economics, University of British Columbia, Vancouver, Canada",1416,David Donaldson
1855,"David N. Margolis Paris School of Economics, Paris, France",1415,David N. Margolis
1855,"Rob Alessie Vakgroep Econometrie, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1415,Rob Alessie
1857,"Austan Goolsbee Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1414,Austan Goolsbee
1858,"Robert J R Elliott Department of Economics, University of Birmingham, Birmingham, United Kingdom",1413,Robert J
1858,"Pierre-Richard Agenor School of Economics, University of Manchester, Manchester, United Kingdom",1413,Pierre-Richard Agenor
1858,"Kevin Keith Sheppard Department of Economics, Oxford University, Oxford, United KingdomOxford-Man Institute of Quantitative Finance, Oxford University, Oxford, United Kingdom",1413,Kevin Keith
1858,"Robert Korajczyk Department of Finance, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1413,Robert Korajczyk
1862,"Vidhan K. Goyal Department of Finance, Business School, Hong Kong University of Science and Technology (HKUST), Kowloon, Hong Kong",1412,Vidhan K. Goyal
1863,John Mullahy,1411,John Mullahy
1864,Jeffrey Scot Banks †,1410,Jeffrey Scot
1865,Bezalel Peleg †,1408,Bezalel Peleg
1866,Frank Peter Stafford,1406,Frank Peter
1867,"David Blake Faculty of Finance, Cass Business School, City University, London, United Kingdom",1405,David Blake
1867,"Gernot Muller Wirtschaftswissenschaftlichen Fakultät, Eberhard-Karls-Universität Tübingen, Tübingen, Germany",1405,Gernot Muller
1869,"Giacomo Corneo Abteilung Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, Germany",1404,Giacomo Corneo
1869,"Fabio Maccheroni Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy",1404,Fabio Maccheroni
1871,"Robert E. Wright Economics Department, University of Strathclyde, Glasgow, United Kingdom",1403,Robert E. Wright
1872,"Branko Milanovic Economics Research, World Bank Group, Washington, District of Columbia (USA)Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)",1402,Branko Milanovic
